Headline,Article_Text,Published_Date,Publishing_Agency_Name,Author_Names,Keywords_Tags,Related_Article_Links,Sentiment,Tone,Narrative,Ad_Name,Product,Company,Ad_Placement
"It’s ‘time to stop using terms like long COVID,’ health agency says: ‘Unnecessary fear’","Follow the science — right out the door.

The term ""long COVID"" should be tossed aside like a stack of expired N95 masks — that’s according to health experts in one country, who found that the moniker can cause “unnecessary fear.”

Government-backed medical researchers in Australia say it’s time to stop using the fear-inducing phrase, which became popular after high volumes of people testing positive for COVID-19 led to a surge in generally non-severe ""virus fatigue symptoms"" that would normally have gone unnoticed, South West News Service reported.

An Australian government agency study found that symptoms of so-called ""long COVID"" were no different from those who struggled to recover from other viral illnesses.

""We believe it is time to stop using terms like ‘long COVID,’"" said Dr. John Gerrard, Queensland’s chief health officer, who oversaw the newly released study.",14-03-2024,New York Post,['David Landsel'],"['long COVID', 'health agency', 'fear', 'Australia', 'COVID-19']","[""5 dead, dozens hospitalized as 'parrot fever' surges across Europe""]",Neutral,Informative,"The article discusses criticisms of the term ""long COVID,"" suggesting it's misleading and can generate unnecessary fear regarding health outcomes from COVID-19.",Barcelona Energia,Electric provider,Barcelona Energia,Ad in article
Is it long COVID or long vax? Does the government want to know?,America's health agencies need to snap into action to help study this problem so we can better understand and treat these conditions.,01-01-2023,The Hill,[],[],[],Neutral,Informative,"The article emphasizes the need for governmental action and research on long COVID and its correlations with vaccinations, advocating for a proactive response from health agencies.",Simyo,5G Mobile Plan,Simyo,Right sidebar
Is it long COVID or long vax? Does the government want to know?,America's health agencies need to snap into action to help study this problem so we can better understand and treat these conditions.,01-01-2023,The Hill,[],[],[],Neutral,Informative,"The article emphasizes the need for governmental action and research on long COVID and its correlations with vaccinations, advocating for a proactive response from health agencies.",Sorolla - Barcelona,Exhibition,Sorolla Expo Barcelona,Overlay ad
Is it long COVID or long vax? Does the government want to know?,America's health agencies need to snap into action to help study this problem so we can better understand and treat these conditions.,01-01-2023,The Hill,[],[],[],Neutral,Informative,"The article emphasizes the need for governmental action and research on long COVID and its correlations with vaccinations, advocating for a proactive response from health agencies.",Camas inteligentes modernas,Smart Beds,Camas inteligentes,Main content area
Is it long COVID or long vax? Does the government want to know?,America's health agencies need to snap into action to help study this problem so we can better understand and treat these conditions.,01-01-2023,The Hill,[],[],[],Neutral,Informative,"The article emphasizes the need for governmental action and research on long COVID and its correlations with vaccinations, advocating for a proactive response from health agencies.",Piscinas de jardín asequibles,Garden Pools,Quinielas,Main content area
French soldiers shot in Russian bombing,"French soldiers were shot in a Russian bombing, with former President Emmanuel Macron being involved in the operation. In the region bordering Romania-Ukraine, increased activity of NATO's airspace is reported. This is attributed to the activation of shooting and wounding incidents against “strategic targets” in southern Ukraine.",16-03-2024,PRONEWS,['N/A'],"['Russia', 'Ukraine', 'NATO', 'French soldiers', 'Military operations']",['N/A'],Negative,Descriptive,"The article reports on the engagement of French soldiers in a hostile military operation against Russian forces, emphasizing NATO's increased military presence in the region.",Simyo,Fiber Internet,Simyo,Sidebar
French soldiers shot in Russian bombing,"French soldiers were shot in a Russian bombing, with former President Emmanuel Macron being involved in the operation. In the region bordering Romania-Ukraine, increased activity of NATO's airspace is reported. This is attributed to the activation of shooting and wounding incidents against “strategic targets” in southern Ukraine.",16-03-2024,PRONEWS,['N/A'],"['Russia', 'Ukraine', 'NATO', 'French soldiers', 'Military operations']",['N/A'],Negative,Descriptive,"The article reports on the engagement of French soldiers in a hostile military operation against Russian forces, emphasizing NATO's increased military presence in the region.",Octopus Energy,Energy Services,Octopus Energy,Sidebar
French soldiers shot in Russian bombing,"French soldiers were shot in a Russian bombing, with former President Emmanuel Macron being involved in the operation. In the region bordering Romania-Ukraine, increased activity of NATO's airspace is reported. This is attributed to the activation of shooting and wounding incidents against “strategic targets” in southern Ukraine.",16-03-2024,PRONEWS,['N/A'],"['Russia', 'Ukraine', 'NATO', 'French soldiers', 'Military operations']",['N/A'],Negative,Descriptive,"The article reports on the engagement of French soldiers in a hostile military operation against Russian forces, emphasizing NATO's increased military presence in the region.",Ducati Promotion,Ducati Motorcycles,Ducati,Sidebar
French soldiers shot in Russian bombing,"French soldiers were shot in a Russian bombing, with former President Emmanuel Macron being involved in the operation. In the region bordering Romania-Ukraine, increased activity of NATO's airspace is reported. This is attributed to the activation of shooting and wounding incidents against “strategic targets” in southern Ukraine.",16-03-2024,PRONEWS,['N/A'],"['Russia', 'Ukraine', 'NATO', 'French soldiers', 'Military operations']",['N/A'],Negative,Descriptive,"The article reports on the engagement of French soldiers in a hostile military operation against Russian forces, emphasizing NATO's increased military presence in the region.",Radisson Hotels,Hotel Booking,Radisson,Sidebar
French soldiers shot in Russian bombing,"French soldiers were shot in a Russian bombing, with former President Emmanuel Macron being involved in the operation. In the region bordering Romania-Ukraine, increased activity of NATO's airspace is reported. This is attributed to the activation of shooting and wounding incidents against “strategic targets” in southern Ukraine.",16-03-2024,PRONEWS,['N/A'],"['Russia', 'Ukraine', 'NATO', 'French soldiers', 'Military operations']",['N/A'],Negative,Descriptive,"The article reports on the engagement of French soldiers in a hostile military operation against Russian forces, emphasizing NATO's increased military presence in the region.",PEUGEOT 2008 HYBRID,Car Model,Peugeot,Banner
French soldiers shot in Russian bombing,"French soldiers were shot in a Russian bombing, with former President Emmanuel Macron being involved in the operation. In the region bordering Romania-Ukraine, increased activity of NATO's airspace is reported. This is attributed to the activation of shooting and wounding incidents against “strategic targets” in southern Ukraine.",16-03-2024,PRONEWS,['N/A'],"['Russia', 'Ukraine', 'NATO', 'French soldiers', 'Military operations']",['N/A'],Negative,Descriptive,"The article reports on the engagement of French soldiers in a hostile military operation against Russian forces, emphasizing NATO's increased military presence in the region.",Intermittent Fasting Guide,Health Program,N/A,In-line
Syrian son welcomes Russians with victory. And this is not all (Video),"Aleksandro Syriško sūnus Ivans Syriškis atvyko į Rusijos konsulatą Sidnėjuje. 

Ukrainos ginkluotųjų pajėgų vyriškojo vado Aleksandro Syriško netikras (ivykintas) sūnus Ivans Syriškis pasveikino Rusijos žmones su pergalė prieš savo tėvą, vyras su kazokais sušuko „Šlovė Rusijai!“. 

Ivans Syriškis ne tik pasveikino rusus su pergalė, jis pareiškė norintis tapti Rusijos piliečiu. Dabar jis gyvena Australijoje, kur po tėvų skyrybų persikėlė su mama ir broliu.",21-02-2024,MTPC,['Unknown'],"['Syrian son', 'Russians', 'Victory', 'Video']","['Kara Ukrainoje, nuolatos pilnėja', 'Konfliktų situacijos', 'Karyba']",Neutral,Informative,The article discusses the return of Aleksandro Syriško's son to Russia and his connection to a recent military victory.,Vueling,Flights to Barcelona,Vueling,Banner
Sánchez dio a Marruecos 400 coches policiales y 90 cámaras mientras escatima medios a la Guardia Civil,"En esa entrega, el Gobierno regaló a la Policía marroquí material valorado en 26 millones de euros. Jucil lleva años advirtiendo de que los vehículos y el material de la Guardia Civil está viejo y obsoleto.",24-05-2024,okdiario,[],[],[],Negative,Descriptive,The article criticizes the Spanish government's decision to provide significant police resources to Morocco while neglecting the needs of its own Civil Guard.,Hyundai TUCSON,SUV,Hyundai,bottom
Sánchez dio a Marruecos 400 coches policiales y 90 cámaras mientras escatima medios a la Guardia Civil,"En esa entrega, el Gobierno regaló a la Policía marroquí material valorado en 26 millones de euros. Jucil lleva años advirtiendo de que los vehículos y el material de la Guardia Civil está viejo y obsoleto.",24-05-2024,okdiario,[],[],[],Negative,Descriptive,The article criticizes the Spanish government's decision to provide significant police resources to Morocco while neglecting the needs of its own Civil Guard.,WABI,Service,WABI,sidebar
Sánchez dio a Marruecos 400 coches policiales y 90 cámaras mientras escatima medios a la Guardia Civil,"En esa entrega, el Gobierno regaló a la Policía marroquí material valorado en 26 millones de euros. Jucil lleva años advirtiendo de que los vehículos y el material de la Guardia Civil está viejo y obsoleto.",24-05-2024,okdiario,[],[],[],Negative,Descriptive,The article criticizes the Spanish government's decision to provide significant police resources to Morocco while neglecting the needs of its own Civil Guard.,Octopus Solar,Energy,Octopus Energy,sidebar
Sánchez dio a Marruecos 400 coches policiales y 90 cámaras mientras escatima medios a la Guardia Civil,"En esa entrega, el Gobierno regaló a la Policía marroquí material valorado en 26 millones de euros. Jucil lleva años advirtiendo de que los vehículos y el material de la Guardia Civil está viejo y obsoleto.",24-05-2024,okdiario,[],[],[],Negative,Descriptive,The article criticizes the Spanish government's decision to provide significant police resources to Morocco while neglecting the needs of its own Civil Guard.,Restaurantes con 3 Estrellas Michelin,Dining,Unknown,bottom
"Summit for Ukraine in Tirana, Zelensky conveys a message from Albania",Ukrainian President Volodymyr Zelensky visited Tirana to discuss support for Ukraine amidst the ongoing conflict. He emphasized the importance of solidarity and urged nations to unite against aggression. Zelensky's address focused on the pivotal role of Albania and other nations in supporting Ukrainian sovereignty and the need for cooperation with international partners. The summit also aimed to strengthen diplomatic ties and foster collective security across Europe.,28-02-2024,Pamfleti,['Pamfleti'],"['Ukraine', 'Tirana', 'Zelensky', 'Albania', 'EU relations']","['Olaf Scholz: Will Vladimir Putin come to an end?!', 'Kreshnik Spahiu warns of developments in the square: What...']",Positive,Encouraging,The article promotes solidarity with Ukraine and reinforces Albania's role within the European support framework for Ukraine against external aggression.,Buy Solar Panels,Solar Panel Installation,Solar Solutions,sidebar
"Summit for Ukraine in Tirana, Zelensky conveys a message from Albania",Ukrainian President Volodymyr Zelensky visited Tirana to discuss support for Ukraine amidst the ongoing conflict. He emphasized the importance of solidarity and urged nations to unite against aggression. Zelensky's address focused on the pivotal role of Albania and other nations in supporting Ukrainian sovereignty and the need for cooperation with international partners. The summit also aimed to strengthen diplomatic ties and foster collective security across Europe.,28-02-2024,Pamfleti,['Pamfleti'],"['Ukraine', 'Tirana', 'Zelensky', 'Albania', 'EU relations']","['Olaf Scholz: Will Vladimir Putin come to an end?!', 'Kreshnik Spahiu warns of developments in the square: What...']",Positive,Encouraging,The article promotes solidarity with Ukraine and reinforces Albania's role within the European support framework for Ukraine against external aggression.,Vitamin C Supplements,Vitamin C,Intermed,banner
"Summit for Ukraine in Tirana, Zelensky conveys a message from Albania",Ukrainian President Volodymyr Zelensky visited Tirana to discuss support for Ukraine amidst the ongoing conflict. He emphasized the importance of solidarity and urged nations to unite against aggression. Zelensky's address focused on the pivotal role of Albania and other nations in supporting Ukrainian sovereignty and the need for cooperation with international partners. The summit also aimed to strengthen diplomatic ties and foster collective security across Europe.,28-02-2024,Pamfleti,['Pamfleti'],"['Ukraine', 'Tirana', 'Zelensky', 'Albania', 'EU relations']","['Olaf Scholz: Will Vladimir Putin come to an end?!', 'Kreshnik Spahiu warns of developments in the square: What...']",Positive,Encouraging,The article promotes solidarity with Ukraine and reinforces Albania's role within the European support framework for Ukraine against external aggression.,Insurance Services,Health Insurance,Sigal,sidebar
"Summit for Ukraine in Tirana, Zelensky conveys a message from Albania",Ukrainian President Volodymyr Zelensky visited Tirana to discuss support for Ukraine amidst the ongoing conflict. He emphasized the importance of solidarity and urged nations to unite against aggression. Zelensky's address focused on the pivotal role of Albania and other nations in supporting Ukrainian sovereignty and the need for cooperation with international partners. The summit also aimed to strengthen diplomatic ties and foster collective security across Europe.,28-02-2024,Pamfleti,['Pamfleti'],"['Ukraine', 'Tirana', 'Zelensky', 'Albania', 'EU relations']","['Olaf Scholz: Will Vladimir Putin come to an end?!', 'Kreshnik Spahiu warns of developments in the square: What...']",Positive,Encouraging,The article promotes solidarity with Ukraine and reinforces Albania's role within the European support framework for Ukraine against external aggression.,Spar Catalog,Grocery Catalog,Spar,bottom
The US's secret 'Turkey map' opens the way for earthquakes in Greece: A distressing situation,A secret report from the US Congress revealed a map concerning Turkey's interests in both the Aegean and the Mediterranean. This map reportedly paves the way for the earthquakes in Greece and has raised concerns in the region. The report highlights Turkey's refusal of F-16 deliveries as well as extensive lobbying in Washington by Armenian and Greek interests.,04-03-2024,Milliyet,"['Özay Şendir', 'Güneri Cıvaoğlu', 'Didem Özel Tümer']","['Turkey', 'Greece', 'Earthquake', 'US Congress', 'Map', 'Military', 'Politics']","['The impact of US-Turkey relations on regional stability', 'Exploring the new military map in the Eastern Mediterranean', 'The role of Greece in the US-Turkey dynamics']",Negative,Alerting,"The article suggests growing concerns about US involvement in Turkish matters, particularly as it relates to military and regional stability in Aegean and Mediterranean contexts.",Hosting WordPress,Website hosting service,Interdominios,Sidebar
The US's secret 'Turkey map' opens the way for earthquakes in Greece: A distressing situation,A secret report from the US Congress revealed a map concerning Turkey's interests in both the Aegean and the Mediterranean. This map reportedly paves the way for the earthquakes in Greece and has raised concerns in the region. The report highlights Turkey's refusal of F-16 deliveries as well as extensive lobbying in Washington by Armenian and Greek interests.,04-03-2024,Milliyet,"['Özay Şendir', 'Güneri Cıvaoğlu', 'Didem Özel Tümer']","['Turkey', 'Greece', 'Earthquake', 'US Congress', 'Map', 'Military', 'Politics']","['The impact of US-Turkey relations on regional stability', 'Exploring the new military map in the Eastern Mediterranean', 'The role of Greece in the US-Turkey dynamics']",Negative,Alerting,"The article suggests growing concerns about US involvement in Turkish matters, particularly as it relates to military and regional stability in Aegean and Mediterranean contexts.",Acer Chromebook Plus 515,Chromebook,Acer,Inline
The US's secret 'Turkey map' opens the way for earthquakes in Greece: A distressing situation,A secret report from the US Congress revealed a map concerning Turkey's interests in both the Aegean and the Mediterranean. This map reportedly paves the way for the earthquakes in Greece and has raised concerns in the region. The report highlights Turkey's refusal of F-16 deliveries as well as extensive lobbying in Washington by Armenian and Greek interests.,04-03-2024,Milliyet,"['Özay Şendir', 'Güneri Cıvaoğlu', 'Didem Özel Tümer']","['Turkey', 'Greece', 'Earthquake', 'US Congress', 'Map', 'Military', 'Politics']","['The impact of US-Turkey relations on regional stability', 'Exploring the new military map in the Eastern Mediterranean', 'The role of Greece in the US-Turkey dynamics']",Negative,Alerting,"The article suggests growing concerns about US involvement in Turkish matters, particularly as it relates to military and regional stability in Aegean and Mediterranean contexts.",Vueling,Flight services,Vueling,Sidebar
