Folder_Number,Image_Link,Ad_Name,Product,Company,Ad_Description,Ad_Placement
557,https://drive.google.com/file/d/1JldD6Jm6Z4ZgFhy7TAbaHy7usmkoyJpS/view?usp=drivesdk,Flowo,Online travel agency,Flowo,"Punta Cana, Riviera Maya or Zanzibar - book your trip",sidebar
557,https://drive.google.com/file/d/14-yJQalgrN-PjtC4i3tEgb7LchIvqd-_/view?usp=drivesdk,Google Ads,N/A,Google,Ad display options,Sidebar
557,https://drive.google.com/file/d/14-yJQalgrN-PjtC4i3tEgb7LchIvqd-_/view?usp=drivesdk,Google Ads,N/A,Google,Ad display options,Bottom
557,https://drive.google.com/file/d/14-yJQalgrN-PjtC4i3tEgb7LchIvqd-_/view?usp=drivesdk,Google Ads,N/A,Google,Ad display options,Bottom
557,https://drive.google.com/file/d/14-yJQalgrN-PjtC4i3tEgb7LchIvqd-_/view?usp=drivesdk,Google Ads,N/A,Google,Ad display options,Bottom
549,https://drive.google.com/file/d/1LhSesnJqbUFKQ6xA9yUTfSeVHHPYKNuG/view?usp=drivesdk,Venta de apertura,Clothing,Not specified,"Promotion for discounted clothing, showcasing specific offers.",Top section before the headline
549,https://drive.google.com/file/d/1LhSesnJqbUFKQ6xA9yUTfSeVHHPYKNuG/view?usp=drivesdk,"¿Esperas, eso está en oferta?",Discount Offers,Not specified,A call to action regarding exclusive discounts.,Inline advertisement
549,https://drive.google.com/file/d/1LhSesnJqbUFKQ6xA9yUTfSeVHHPYKNuG/view?usp=drivesdk,"¿Esperas, eso está en oferta?",Discount Offers,Not specified,A call to action regarding finding discounts.,Inline advertisement
549,https://drive.google.com/file/d/1AfSyXz4iY-PY8QN7oOA-5QDE6cwbOCDz/view?usp=drivesdk,MELIÁ Rewards,Hotel Rewards Program,MELIÁ Hotels International,"Celebrating 30 years of Rewards, join for exclusive benefits and offers.",sidebar
549,https://drive.google.com/file/d/1hcAYdvlksq-MIdp9R6ZstowWRY3dQWCs/view?usp=drivesdk,MELIÁ REWARDS,Rewards Program,MELIÁ Hotels International,Celebrate 30 years of Rewards with MELIÁ Hotels.,"Sidebar, left side"
549,https://drive.google.com/file/d/1hcAYdvlksq-MIdp9R6ZstowWRY3dQWCs/view?usp=drivesdk,En VOX lo tenemos claro,VOX political entity,VOX,A political ad for the VOX party emphasizing clear messaging.,"Sidebar, right side"
549,https://drive.google.com/file/d/1rrMz9743TKT7L984fuvhp3zDyEiCyZAa/view?usp=drivesdk,MELÏA REWARDS,Hotel Rewards Program,MELÏA Hotels,Promotional offer of 30% discount for the MELÏA Rewards program.,sidebar
549,https://drive.google.com/file/d/1rrMz9743TKT7L984fuvhp3zDyEiCyZAa/view?usp=drivesdk,How to earn $300 per hour,Job Opportunity,Unknown,Advertisement displaying an opportunity to make $300 per hour.,sidebar
549,https://drive.google.com/file/d/1rrMz9743TKT7L984fuvhp3zDyEiCyZAa/view?usp=drivesdk,$3000 a week working online,Work Opportunity,Unknown,An offer to earn $3000 a week working online without effort.,inline
586,https://drive.google.com/file/d/1x9jhXbTMrLK0DGlRfBBxAyKh_fa41uRH/view?usp=drivesdk,Limited Edition,Swimwear,CALZEDONIA,Promoting a limited edition swimwear collection.,Sidebar
586,https://drive.google.com/file/d/1x9jhXbTMrLK0DGlRfBBxAyKh_fa41uRH/view?usp=drivesdk,Iberdrola Supera 2024,Award Program,Iberdrola,Promotion of an award program recognizing achievements.,Sidebar
586,https://drive.google.com/file/d/1XjdYQXB4y4OTGBTwFvfOBDnJAMpDbyZc/view?usp=drivesdk,Wizz Air,Air Travel,Wizz Air,Book your next flight with Wizz Air.,sidebar
586,https://drive.google.com/file/d/1XjdYQXB4y4OTGBTwFvfOBDnJAMpDbyZc/view?usp=drivesdk,Adobe Creative Cloud,Software Subscription,Adobe,Get a 46% discount on Creative Cloud.,banner
586,https://drive.google.com/file/d/1jFJ1Un9Ytt1Ij9GEthIBd4ZOzvknyc65/view?usp=drivesdk,Omet,Advertising Services,Omet,"An advertisement promoting Omet's advertising services, possibly related to online or digital advertising.",Inline
586,https://drive.google.com/file/d/1r9Lj2ZP5tqsdk5NLaAUrxr7dzoni0-0T/view?usp=drivesdk,O2,Air Conditioning,O2,A thermodynamic air conditioning solution that increases humidity levels by approximately 7% for every Kelvin degree.,"Inline, beside the article content"
586,https://drive.google.com/file/d/1r9Lj2ZP5tqsdk5NLaAUrxr7dzoni0-0T/view?usp=drivesdk,Budapest Travel,Travel Services,Unknown,An advertisement promoting travel to Budapest with a link to learn more.,Sidebar on the right
586,https://drive.google.com/file/d/11dqfUhEZtJJomZjQo1pYnFjht8M7fYd9/view?usp=drivesdk,CALZEDONIA,Fashion Hosiery,CALZEDONIA,Promoting a fashion line specializing in hosiery and tights.,sidebar
586,https://drive.google.com/file/d/11dqfUhEZtJJomZjQo1pYnFjht8M7fYd9/view?usp=drivesdk,O2,Mobile Services,O2,Mobile service offering with no commitment required.,sidebar
586,https://drive.google.com/file/d/160Bw87STIjQsW1aZkCNx-FjtvIhv3LoO/view?usp=drivesdk,CALZEDONIA,Fashion socks and tights,CALZEDONIA,"A promotion of fashion socks and tights, highlighting stylish options for customers.",bottom left
586,https://drive.google.com/file/d/19-pNGmPs9Y-2egvdG4cfbG2qRpExmal6/view?usp=drivesdk,CALZEDONIA,Limited Edition Apparel,CALZEDONIA,Promoting a limited edition apparel collection.,Sidebar
586,https://drive.google.com/file/d/1BtUkdGHmfrUt-wy_qehOAkFvR7HFlzXc/view?usp=drivesdk,,,,Ad displayed by Google,Sidebar
586,https://drive.google.com/file/d/1MfGxceVME16BIAbT_5gHqk5uJry6CF-n/view?usp=drivesdk,Mute Labs,Soundproof Booth,Mute Labs,"A soundproof booth designed for privacy and quiet, ideal for work or study.",inline
586,https://drive.google.com/file/d/17k0kPRV6dv0bRrAGVDs3NfB3KkQiASRG/view?usp=drivesdk,Mazi gia to Paidi - Pronoia,Childcare Services,Not specified,Together for the Child - Care Services,sidebar
667,https://drive.google.com/file/d/1KJjAMwCu93CTGgIrEC79MuVluC3_YzyG/view?usp=drivesdk,Wool Festival,Art Festival,Wool,A festival showcasing urban art from June 6 to 16.,top banner
667,https://drive.google.com/file/d/1KJjAMwCu93CTGgIrEC79MuVluC3_YzyG/view?usp=drivesdk,Office Pod,Office Furniture,,"An office pod for creating private workspaces, priced at 9,990 €.",bottom section
667,https://drive.google.com/file/d/12cdIefRQpSed4cD4aWZppSXFquS-1p92/view?usp=drivesdk,Google Ads,Online advertising,Google,Ad for commenting related to Google Ads.,Bottom section of the page
667,https://drive.google.com/file/d/1ctP48z-n3tZHyON8yUl1vHX9nJtjLI2O/view?usp=drivesdk,WOOL24,Art and cultural event,Wool Festival,An event celebrating art and urban culture from June 6 to June 16.,Inline ad
667,https://drive.google.com/file/d/1ctP48z-n3tZHyON8yUl1vHX9nJtjLI2O/view?usp=drivesdk,idealista,Real estate app,idealista,The leading real estate app in Portugal.,Sidebar ad
667,https://drive.google.com/file/d/1ctP48z-n3tZHyON8yUl1vHX9nJtjLI2O/view?usp=drivesdk,Podcasts,Podcast subscription,Público,"Public podcasts, stay informed and subscribe.",Bottom ad
667,https://drive.google.com/file/d/1n9hXNVXpzsLkC5-ckgFHzHM28g3QHmUh/view?usp=drivesdk,idealista,Real Estate App,idealista,The leading real estate app in Portugal,bottom section
667,https://drive.google.com/file/d/1uxEgesNZnK8mpT7zrhzHcHv-aRXmapp4/view?usp=drivesdk,MBA Executive Conference,MBA Program,Católica Porto Business School,"Celebrating 20 years of the MBA Executive program, highlighting its achievements and future prospects.",Banner at the bottom of the page
667,https://drive.google.com/file/d/1uxEgesNZnK8mpT7zrhzHcHv-aRXmapp4/view?usp=drivesdk,Event on June 5th,Conference/Event,Católica Porto Business School,"An upcoming event scheduled for June 5th, relating to the MBA Executive program.",Banner at the bottom of the page
667,https://drive.google.com/file/d/1OyhnsTWC6Z1d7rX5cKB8b01Ku_5vtlEy/view?usp=drivesdk,Quebramar,Business investment in startups,Quebramar,The ad discusses the loss faced by the state in investment in startups.,right section
667,https://drive.google.com/file/d/1jf23ThX_2sEEMsl0vZGxTPFmMP_cSOKR/view?usp=drivesdk,PUB,Acoustic Office Booth,Mute Labs,Soundproof booth for office use.,sidebar
667,https://drive.google.com/file/d/1AYZPjFdKqqOV-f-YEOYxMfIB2uKAZoBs/view?usp=drivesdk,Estúdio P,Educational Transformation,Estúdio P,Want to transform education in Portugal? Here's an opportunity.,sidebar
548,https://drive.google.com/file/d/1YNwxejVH1vWkM6pXlG6sEx_qEwjhBVfI/view?usp=drivesdk,Mute-labs Phone Booth,Soundproof Meeting Cabin,Mute-labs,"A soundproof cabin designed for meetings and phone calls, available for office use.",inline
548,https://drive.google.com/file/d/1YNwxejVH1vWkM6pXlG6sEx_qEwjhBVfI/view?usp=drivesdk,JustAnswer,Expert Help Service,JustAnswer,"Get answers to your questions from experts within minutes, 24/7 service.",bottom
548,https://drive.google.com/file/d/1pY_wvMq0iYxDwIXZ-VUlQC-fgvLwSwwm/view?usp=drivesdk,Google Ads,,,"Advertisement related to Google's services, likely promoting various products or services.",Bottom of the page
548,https://drive.google.com/file/d/1kXefbOQYRyQhFYbYioNxHUrCBA2wxrzp/view?usp=drivesdk,American Express Platinum Card,Credit Card,American Express,Exclusive benefits and rewards with the American Express Platinum Card.,Right sidebar
548,https://drive.google.com/file/d/1kXefbOQYRyQhFYbYioNxHUrCBA2wxrzp/view?usp=drivesdk,American Express Platinum Card,Credit Card,American Express,Experience unparalleled service with the American Express Platinum Card.,Right sidebar
548,https://drive.google.com/file/d/13BYGqy548z5eHcBTt-CxaN9iWSFDmzNW/view?usp=drivesdk,¿Qué Europa quieres?,Unknown,Unknown,A call to explore or choose aspects of Europe.,"Top section, above article"
548,https://drive.google.com/file/d/1y_t_MBnefCpjjYClbWxHWOT36DkxBFlP/view?usp=drivesdk,Google Ads,Online Advertising,Google,Ad served by Google.,Banner section at the top and bottom of the page.
548,https://drive.google.com/file/d/1y_t_MBnefCpjjYClbWxHWOT36DkxBFlP/view?usp=drivesdk,Google Ads,Online Advertising,Google,Ad served by Google.,Sidebar on the right side of the page.
548,https://drive.google.com/file/d/1y_t_MBnefCpjjYClbWxHWOT36DkxBFlP/view?usp=drivesdk,Google Ads,Online Advertising,Google,Ad served by Google.,Sidebar on the left side of the page.
548,https://drive.google.com/file/d/13dfTyIAYh6V4at-Sy4jSU35Q0Zpi8tkN/view?usp=drivesdk,Tarjeta American Express Platinum,Credit Card,American Express,A premium credit card offering various benefits and rewards.,Sidebar (top)
548,https://drive.google.com/file/d/1q4kKKvi_ZC52uyJ3GrhH2IxkAXOLRxHg/view?usp=drivesdk,Mute Labs Sound Proof Phone Booth,Sound proof phone booth,Mute Labs,A soundproof booth designed for making phone calls in a quiet environment.,inline above article
548,https://drive.google.com/file/d/1K6ptSN_ELEnX7TOlqohHteFseM7Xi36o/view?usp=drivesdk,American Express Platinum Card,Credit Card,American Express,Get the American Express Platinum Card with exclusive benefits.,sidebar
548,https://drive.google.com/file/d/1K6ptSN_ELEnX7TOlqohHteFseM7Xi36o/view?usp=drivesdk,Insurance,Insurance services,Not specified,Get the best insurance options for your needs.,sidebar
548,https://drive.google.com/file/d/1K6ptSN_ELEnX7TOlqohHteFseM7Xi36o/view?usp=drivesdk,Mute Labs,Office Pods,Mute Labs,High-quality office pods for a better work environment.,bottom
548,https://drive.google.com/file/d/1XoQKPl_S_Pdjq1E-wv6JCPhD1Fi0z50X/view?usp=drivesdk,Seguros,Insurance,Unknown,Explore insurance options suitable for various needs.,Sidebar
548,https://drive.google.com/file/d/1XoQKPl_S_Pdjq1E-wv6JCPhD1Fi0z50X/view?usp=drivesdk,Seguros,Insurance,Unknown,Explore insurance options suitable for various needs.,Sidebar
548,https://drive.google.com/file/d/1XoQKPl_S_Pdjq1E-wv6JCPhD1Fi0z50X/view?usp=drivesdk,Unknown,Furniture,mute-labs.com,A modern desk setup for effective workspace.,Bottom section
548,https://drive.google.com/file/d/1XoQKPl_S_Pdjq1E-wv6JCPhD1Fi0z50X/view?usp=drivesdk,Unknown,Furniture,mute-labs.com,A unique furniture design suitable for office or home use.,Bottom section
548,https://drive.google.com/file/d/1LjSGM9kBR-7WJHZVg9wkTbqtIpJQ6eyT/view?usp=drivesdk,American Express Platinum Card,Credit Card,American Express,Promoting the American Express Platinum credit card.,"Top section of the page, overlay on an image"
548,https://drive.google.com/file/d/1LjSGM9kBR-7WJHZVg9wkTbqtIpJQ6eyT/view?usp=drivesdk,Seguros,Insurance,Unknown,Insurance services offered with a visual of a beach setting.,"Sidebar right, overlay on an image"
548,https://drive.google.com/file/d/1LjSGM9kBR-7WJHZVg9wkTbqtIpJQ6eyT/view?usp=drivesdk,Seguros,Insurance,Unknown,Insurance services offered with a visual of a beach setting.,"Sidebar right, overlay on an image"
548,https://drive.google.com/file/d/1LjSGM9kBR-7WJHZVg9wkTbqtIpJQ6eyT/view?usp=drivesdk,mute-labs,Office Pod,Mute Labs,"Promoting office pod furniture available for purchase at a price of 2,990 €.",Bottom section of the page
548,https://drive.google.com/file/d/1yZxjkuty15tOt2G5h2GmH1u497Ey5kyr/view?usp=drivesdk,Seguros,Insurance Services,N/A,Promoting various insurance options for travelers.,Sidebar
548,https://drive.google.com/file/d/1yZxjkuty15tOt2G5h2GmH1u497Ey5kyr/view?usp=drivesdk,Mute Labs,Soundproof Office Booth,Mute Labs,Soundproof office solution for quiet work environments.,Bottom
548,https://drive.google.com/file/d/1MuuLs3Yaex5myg-ah_yALq2pChQBNIe3/view?usp=drivesdk,American Express Express Platinum Card,Credit Card,American Express,Promotional advertisement for the American Express Express Platinum Card featuring a hand using the card for payment.,Inline advertisement beneath the main content.
548,https://drive.google.com/file/d/1MuuLs3Yaex5myg-ah_yALq2pChQBNIe3/view?usp=drivesdk,Insurance Services,Insurance,Unknown,Promotional advertisement for insurance services featuring a scenic beach view with two people walking.,Sidebar advertisement.
548,https://drive.google.com/file/d/1MuuLs3Yaex5myg-ah_yALq2pChQBNIe3/view?usp=drivesdk,Insurance Services,Insurance,Unknown,Another promotional advertisement for insurance services featuring a scenic beach view with two people walking.,Sidebar advertisement.
548,https://drive.google.com/file/d/1MuuLs3Yaex5myg-ah_yALq2pChQBNIe3/view?usp=drivesdk,Mute Labs,Furniture,Mute Labs,"Advertisement showcasing modern furniture, featuring a desk and chairs.",Advertisement at the bottom of the page.
548,https://drive.google.com/file/d/1jQSG8hPVOaYEqwnvk0qGAjHQp3ifEi1I/view?usp=drivesdk,Mute Labs Office Pod,Office furniture,Mute Labs,A modern office pod for a comfortable workspace in any environment.,bottom section of the page
548,https://drive.google.com/file/d/1Awsv3jYz-A-Buj_Njv9Geu1s6RzdcgMC/view?usp=drivesdk,American Express Platinum Card,Credit Card,American Express,Exclusive benefits with the American Express Platinum Card,Banner at the top of the page
548,https://drive.google.com/file/d/1Gns8nPqlRFerFbunrRMIp4Hwy_Rl-vhU/view?usp=drivesdk,Slobodna Dalmacija,Office Pods,Mute Labs,Promoting modern office pods for creating quiet working spaces.,Bottom section
562,https://drive.google.com/file/d/1iAvQkDim9xUqNrJdOzWFBaJeMk37iOcm/view?usp=drivesdk,Mute Labs,Office Solutions,Mute Labs,Innovative office cubicles designed for productivity and comfort.,Inline
562,https://drive.google.com/file/d/1iAvQkDim9xUqNrJdOzWFBaJeMk37iOcm/view?usp=drivesdk,Paquetes Todo Incluido,Travel Packages,SurgeryTR,All-inclusive travel packages to Turkey.,Sidebar
562,https://drive.google.com/file/d/1GIs28PSt3Aktu0JR9fgLQpFHOXFaAmmy/view?usp=drivesdk,Roll Up Banner,Banner advertising,Unknown,"A promotional banner that measures 85x200 cm, selling for 58,90€.",Sidebar
562,https://drive.google.com/file/d/1G2Jmtndd23SioNWhQL2jWkqgZlkKb4Fi/view?usp=drivesdk,ROLL UP banner,Advertising banner,Not specified,An advertising banner with dimensions 85x200 cm available for purchase at the price of 58.90€,Sidebar
562,https://drive.google.com/file/d/1wJpYvCbXJuEJqwRCmvKr3Jt65xOA1pbw/view?usp=drivesdk,SUV Electricos por Casi Nada,Electric SUVs,Not specified,Advertisement for electric SUVs available at minimal prices.,Sidebar
562,https://drive.google.com/file/d/1wJpYvCbXJuEJqwRCmvKr3Jt65xOA1pbw/view?usp=drivesdk,Sorolla - Barcelona,Art Exhibition,Sorolla Expo Barcelona,Promotion for the Sorolla art exhibition in Barcelona.,Sidebar
562,https://drive.google.com/file/d/1wJpYvCbXJuEJqwRCmvKr3Jt65xOA1pbw/view?usp=drivesdk,ROLL UP banner,Advertising Banner,Not specified,A roll-up advertising banner available for sale.,Inline
562,https://drive.google.com/file/d/1rEsbJoJnEgLdByasg-fpZQorKEBE6171/view?usp=drivesdk,Roll Up Banner,Advertising banner,Not specified,A roll-up banner for advertising purposes with dimensions 85x200 cm and a price of 58.90€.,sidebar
562,https://drive.google.com/file/d/1ElZ0yvFuN8t8jramraNAZG9ZU5-h8ojs/view?usp=drivesdk,Keto Slim,Weight loss supplement,Keto Slim,1 Vaso antes de ir a la cama y bajarás 15 Kg en 17 días,sidebar
562,https://drive.google.com/file/d/1ElZ0yvFuN8t8jramraNAZG9ZU5-h8ojs/view?usp=drivesdk,Flextormine,Pain relief supplement,Flextormine,People with back and hip pain need to read this,sidebar
562,https://drive.google.com/file/d/1ElZ0yvFuN8t8jramraNAZG9ZU5-h8ojs/view?usp=drivesdk,Keto Matcha,Dietary supplement,Keto Matcha,Try before sleeping and the abdominal fat will disappear,sidebar
562,https://drive.google.com/file/d/1ElZ0yvFuN8t8jramraNAZG9ZU5-h8ojs/view?usp=drivesdk,mute-labs.com,Work Station,Mute Labs,Modern design work station for home or office use,bottom section
562,https://drive.google.com/file/d/1abc42LtPLjunkHNQIuYgvd8_uWRzkOm8/view?usp=drivesdk,Vasos antes de irte a la cama,Keto Slim,N/A,Lose 17 pounds in 17 days,Sidebar
562,https://drive.google.com/file/d/1abc42LtPLjunkHNQIuYgvd8_uWRzkOm8/view?usp=drivesdk,Bebe todos los días y pierde 15 kg en un mes,Keto Matcha Blue,N/A,Here is the recipe,Sidebar
562,https://drive.google.com/file/d/1abc42LtPLjunkHNQIuYgvd8_uWRzkOm8/view?usp=drivesdk,Pruébalo antes de dormir,Keto Matcha,N/A,And abdominal fat will disappear,Sidebar
547,https://drive.google.com/file/d/1YB0h_9E-0S5r71O_J0O_OwYrs4zID6BR/view?usp=drivesdk,Soundproof Meeting Cabin,Soundproof meeting room,Mute Labs,A cabin designed for noise-proof meetings.,Sidebar
547,https://drive.google.com/file/d/1fErObjuEihP2BCnHhKpHLBbU_JPcqDeC/view?usp=drivesdk,,,,,sidebar
547,https://drive.google.com/file/d/1fErObjuEihP2BCnHhKpHLBbU_JPcqDeC/view?usp=drivesdk,,,,,sidebar
547,https://drive.google.com/file/d/1fErObjuEihP2BCnHhKpHLBbU_JPcqDeC/view?usp=drivesdk,,,,,bottom
547,https://drive.google.com/file/d/1Jvb_lMZF3Gn_-Bd6mJQE7_W5U4euud6r/view?usp=drivesdk,Promo Shorts,Shorts,Unknown,"Offers discounts on shorts, originally priced at 28.80€, now 1.53€",Right Sidebar
547,https://drive.google.com/file/d/1Jvb_lMZF3Gn_-Bd6mJQE7_W5U4euud6r/view?usp=drivesdk,Doctor clinical psychology,Clinical psychology consultation,Unknown,Promotes clinic for psychological services offering new insights into parenting issues.,Bottom Sidebar
547,https://drive.google.com/file/d/1Jvb_lMZF3Gn_-Bd6mJQE7_W5U4euud6r/view?usp=drivesdk,OVAKO SE LJUBE MUŽ I ŽENA?!,Relationship counseling,Unknown,Explains relationship dynamics amidst new findings about couples.,Bottom Sidebar
547,https://drive.google.com/file/d/1BCJWmpI0Tk4uj3ETI2fFXon2L1CKdYkX/view?usp=drivesdk,Ad from Google,Google Ads Options,Google,Options regarding the advertisement display.,Sidebar
547,https://drive.google.com/file/d/1BCJWmpI0Tk4uj3ETI2fFXon2L1CKdYkX/view?usp=drivesdk,Ad from Google,Google Ads Information,Google,Information regarding the advertisement display.,Sidebar
547,https://drive.google.com/file/d/1OwjuwwQkoD3PXo9-5h5hj0Bc9TBRbHQZ/view?usp=drivesdk,Orthopedic Seat Cushion,Orthopedic seat cushion,Klaudena,An orthopedic seat cushion designed for comfort and support.,Sidebar
547,https://drive.google.com/file/d/1OwjuwwQkoD3PXo9-5h5hj0Bc9TBRbHQZ/view?usp=drivesdk,Orthopedic Seat Cushion,Orthopedic seat cushion,Klaudena,Another orthopedic seat cushion offering the same comfort and support.,Sidebar
547,https://drive.google.com/file/d/1Ej5zv_3PPnBbfFyNh1pmWDF7nyLfmaAM/view?usp=drivesdk,,,,Advertisement from Google,Sidebar (left)
547,https://drive.google.com/file/d/1Ej5zv_3PPnBbfFyNh1pmWDF7nyLfmaAM/view?usp=drivesdk,,,,Advertisement from Google,Sidebar (right)
547,https://drive.google.com/file/d/1_jcmK-_RBRMESl13xMduayCLIltVMaMi/view?usp=drivesdk,Cojín de asiento ortopédico,Orthopedic seat cushion,Unknown,An orthopedic seat cushion designed for comfort and support while sitting.,Sidebar
547,https://drive.google.com/file/d/1_jcmK-_RBRMESl13xMduayCLIltVMaMi/view?usp=drivesdk,Cojín de asiento ortopédico,Orthopedic seat cushion,Unknown,An orthopedic seat cushion designed for comfort and support while sitting.,Sidebar
547,https://drive.google.com/file/d/1-xr7CPquLwpkmHxyHbXjrNcI2IuAA_Up/view?usp=drivesdk,Veliki probroj!,News Article,,"Russia is destroying the front, terrifying...",sidebar
589,https://drive.google.com/file/d/1uoRq6X9q5yKA7euraYvDP2PfkulKgFmS/view?usp=drivesdk,Carrefour,Supermarket Products,Carrefour,Special offer for online shopping.,Top banner
589,https://drive.google.com/file/d/1uoRq6X9q5yKA7euraYvDP2PfkulKgFmS/view?usp=drivesdk,Skilum,Brown wooden stool,Skilum,Brown wooden stool available for purchase.,Inline advertisement
589,https://drive.google.com/file/d/1uoRq6X9q5yKA7euraYvDP2PfkulKgFmS/view?usp=drivesdk,AirEuropa,Flight tickets,AirEuropa,Flight offer with prices starting from 358 EUR.,Right sidebar
589,https://drive.google.com/file/d/1FLBbFP3pMiUlFzAKBzhO6GdNP66-4AiT/view?usp=drivesdk,Google Ads,Online Advertising,Google,This ad involves options for related advertisements.,"Top section, overlaying content"
589,https://drive.google.com/file/d/1FLBbFP3pMiUlFzAKBzhO6GdNP66-4AiT/view?usp=drivesdk,Google Ads,Online Advertising,Google,This ad involves options for related advertisements.,"Sidebar, overlaying content"
589,https://drive.google.com/file/d/1CKLLaLwQbDiitzImNeuEOt3XDA7jzV-D/view?usp=drivesdk,N1 newsnight,News program,N1,A news program airing on N1 from Monday to Thursday at 20:00.,"Inline, within the article"
589,https://drive.google.com/file/d/1PULq4KGhB7VujDDRiUi4GosV_ueXOKEd/view?usp=drivesdk,Google Ad,Online Advertising Services,Google,Google advertising services that assist in managing online advertisements.,Sidebar
589,https://drive.google.com/file/d/1EuZw2dSqJ78PMQbHNT7v74IxWcTQ_y0N/view?usp=drivesdk,Mute Labs,Acoustic Booths,Mute Labs,Soundproof booths designed for work and privacy.,"inline, center of the page"
589,https://drive.google.com/file/d/1pYbEQzfqSYJ6XES4d607x4THQpkWJvBM/view?usp=drivesdk,Ad using Google,,,,sidebar
589,https://drive.google.com/file/d/1pYbEQzfqSYJ6XES4d607x4THQpkWJvBM/view?usp=drivesdk,Ad using Google,,,,bottom
589,https://drive.google.com/file/d/1pYbEQzfqSYJ6XES4d607x4THQpkWJvBM/view?usp=drivesdk,Ad using Google,,,,bottom
